"date","CumConfirmed","Pred_q25","Pred_med","Pred_q975"
2020-11-06,27652,NA,NA,NA
2020-11-07,27658,NA,NA,NA
2020-11-08,27665,NA,NA,NA
2020-11-09,27669,NA,NA,NA
2020-11-10,27671,NA,NA,NA
2020-11-11,27675,NA,NA,NA
2020-11-12,27676,NA,NA,NA
2020-11-13,27682,NA,NA,NA
2020-11-14,27711,NA,NA,NA
2020-11-15,27749,NA,NA,NA
2020-11-16,27758,NA,NA,NA
2020-11-17,27777,NA,NA,NA
2020-11-18,27785,NA,NA,NA
2020-11-19,27792,NA,NA,NA
2020-11-20,27806,NA,NA,NA
2020-11-21,27821,NA,NA,NA
2020-11-22,27834,NA,NA,NA
2020-11-23,27843,NA,NA,NA
2020-11-24,27853,NA,NA,NA
2020-11-25,27865,NA,NA,NA
2020-11-26,27873,NA,NA,NA
2020-11-27,27886,NA,NA,NA
2020-11-28,27892,NA,NA,NA
2020-11-29,27902,NA,NA,NA
2020-11-30,27912,NA,NA,NA
2020-12-01,27923,NA,NA,NA
2020-12-02,27939,NA,NA,NA
2020-12-03,27949,NA,NA,NA
2020-12-04,27956,NA,NA,NA
2020-12-05,27965,NA,NA,NA
2020-12-06,27972,NA,NA,NA
2020-12-07,27987,NA,NA,NA
2020-12-08,27993,NA,NA,NA
2020-12-09,28000,NA,NA,NA
2020-12-10,28011,NA,NA,NA
2020-12-11,28025,NA,NA,NA
2020-12-12,28030,NA,NA,NA
2020-12-13,28037,NA,NA,NA
2020-12-14,28048,NA,NA,NA
2020-12-15,28060,NA,NA,NA
2020-12-16,28072,NA,NA,NA
2020-12-17,28093,NA,NA,NA
2020-12-18,28126,NA,NA,NA
2020-12-19,28168,NA,NA,NA
2020-12-20,28198,NA,NA,NA
2020-12-21,28219,NA,NA,NA
2020-12-22,28237,NA,NA,NA
2020-12-23,28262,NA,NA,NA
2020-12-24,28274,NA,NA,NA
2020-12-25,28297,NA,NA,NA
2020-12-26,28308,NA,NA,NA
2020-12-27,28337,NA,NA,NA
2020-12-28,28349,NA,NA,NA
2020-12-29,28381,NA,NA,NA
2020-12-30,28405,NA,NA,NA
2020-12-31,28425,NA,NA,NA
2021-01-01,28460,NA,NA,NA
2021-01-02,28484,NA,NA,NA
2021-01-03,28504,NA,NA,NA
2021-01-04,28517,NA,NA,NA
2021-01-05,28536,NA,NA,NA
2021-01-06,28546,NA,NA,NA
2021-01-07,28571,NA,NA,NA
2021-01-08,28582,NA,NA,NA
2021-01-09,28595,NA,NA,NA
2021-01-10,28614,NA,NA,NA
2021-01-11,28634,NA,NA,NA
2021-01-12,28650,NA,NA,NA
2021-01-13,28660,NA,NA,NA
2021-01-14,28669,NA,NA,NA
2021-01-15,28689,NA,NA,NA
2021-01-16,28708,NA,NA,NA
2021-01-17,28721,NA,NA,NA
2021-01-18,28731,NA,NA,NA
2021-01-19,28740,NA,NA,NA
2021-01-20,28749,NA,NA,NA
2021-01-21,28755,NA,NA,NA
2021-01-22,28760,NA,NA,NA
2021-01-23,28766,NA,NA,NA
2021-01-24,28777,NA,NA,NA
2021-01-25,28780,NA,NA,NA
2021-01-26,28786,NA,NA,NA
2021-01-27,28794,NA,NA,NA
2021-01-28,28799,NA,NA,NA
2021-01-29,28806,NA,NA,NA
2021-01-30,28811,NA,NA,NA
2021-01-31,28818,NA,NA,NA
2021-02-01,28823,NA,NA,NA
2021-02-02,28829,NA,NA,NA
2021-02-03,28838,NA,NA,NA
2021-02-04,28842,NA,NA,NA
2021-02-05,28848,NA,NA,NA
2021-02-06,28851,NA,NA,NA
2021-02-07,28857,NA,NA,NA
2021-02-08,28860,NA,NA,NA
2021-02-09,28871,NA,NA,NA
2021-02-10,28879,NA,NA,NA
2021-02-11,28887,NA,NA,NA
2021-02-12,28892,NA,NA,NA
2021-02-13,28898,NA,NA,NA
2021-02-14,28900,NA,NA,NA
2021-02-15,28905,NA,NA,NA
2021-02-16,28911,NA,NA,NA
2021-02-17,28912,NA,NA,NA
2021-02-18,28918,NA,NA,NA
2021-02-19,28920,NA,NA,NA
2021-02-20,28926,NA,NA,NA
2021-02-21,28930,NA,NA,NA
2021-02-22,28937,NA,NA,NA
2021-02-23,28939,NA,NA,NA
2021-02-24,28947,NA,NA,NA
2021-02-25,28957,NA,NA,NA
2021-02-26,28965,NA,NA,NA
2021-02-27,28970,NA,NA,NA
2021-02-28,28978,NA,NA,NA
2021-03-01,28986,NA,NA,NA
2021-03-02,28996,NA,NA,NA
2021-03-03,29007,NA,NA,NA
2021-03-04,29021,NA,NA,NA
2021-03-05,29029,NA,NA,NA
2021-03-06,29034,NA,NA,NA
2021-03-07,29046,NA,NA,NA
2021-03-08,29061,NA,NA,NA
2021-03-09,29074,NA,NA,NA
2021-03-10,29090,NA,NA,NA
2021-03-11,29102,NA,NA,NA
2021-03-12,29112,NA,NA,NA
2021-03-13,29117,NA,NA,NA
2021-03-14,29130,NA,NA,NA
2021-03-15,29137,NA,NA,NA
2021-03-16,29154,NA,NA,NA
2021-03-17,29166,NA,NA,NA
2021-03-18,29183,NA,NA,NA
2021-03-19,29192,NA,NA,NA
2021-03-20,29196,NA,NA,NA
2021-03-21,29206,NA,NA,NA
2021-03-22,29211,NA,NA,NA
2021-03-23,29221,NA,NA,NA
2021-03-24,29230,NA,NA,NA
2021-03-25,29239,NA,NA,NA
2021-03-26,29252,NA,NA,NA
2021-03-27,29259,NA,NA,NA
2021-03-28,29276,NA,NA,NA
2021-03-29,29296,NA,NA,NA
2021-03-30,29304,NA,NA,NA
2021-03-31,29322,NA,NA,NA
2021-04-01,29333,NA,NA,NA
2021-04-02,29341,NA,NA,NA
2021-04-03,29348,NA,NA,NA
2021-04-04,29357,NA,NA,NA
2021-04-05,29365,NA,NA,NA
2021-04-06,29379,NA,NA,NA
2021-04-07,29385,NA,NA,NA
2021-04-08,29390,NA,NA,NA
2021-04-09,29396,NA,NA,NA
2021-04-10,29405,NA,NA,NA
2021-04-11,29419,NA,NA,NA
2021-04-12,29429,NA,NA,NA
2021-04-13,29450,NA,NA,NA
2021-04-14,29469,NA,NA,NA
2021-04-15,29484,NA,NA,NA
2021-04-16,29499,NA,NA,NA
2021-04-17,29519,NA,NA,NA
2021-04-18,29533,NA,NA,NA
2021-04-19,29556,NA,NA,NA
2021-04-20,29576,NA,NA,NA
2021-04-21,29594,NA,NA,NA
2021-04-22,29638,NA,NA,NA
2021-04-23,29653,NA,NA,NA
2021-04-24,29663,NA,NA,NA
2021-04-25,29680,NA,NA,NA
2021-04-26,29717,NA,NA,NA
2021-04-27,29750,NA,NA,NA
2021-04-28,29773,NA,NA,NA
2021-04-29,29798,NA,NA,NA
2021-04-30,29811,NA,NA,NA
2021-05-01,29824,NA,NA,NA
2021-05-02,29838,NA,NA,NA
2021-05-03,29850,NA,NA,NA
2021-05-04,29865,NA,NA,NA
2021-05-05,29884,NA,NA,NA
2021-05-06,29893,NA,NA,NA
2021-05-07,29906,NA,NA,NA
2021-05-08,29922,NA,NA,NA
2021-05-09,29931,NA,NA,NA
2021-05-10,29938,NA,NA,NA
2021-05-11,29946,NA,NA,NA
2021-05-12,29955,NA,NA,NA
2021-05-13,29957,NA,NA,NA
2021-05-14,29964,NA,NA,NA
2021-05-15,29975,NA,NA,NA
2021-05-16,29978,NA,NA,NA
2021-05-17,29983,NA,NA,NA
2021-05-18,29992,NA,NA,NA
2021-05-19,29995,NA,NA,NA
2021-05-20,29999,NA,NA,NA
2021-05-21,30003,NA,NA,NA
2021-05-22,30007,NA,NA,NA
2021-05-23,30019,NA,NA,NA
2021-05-24,30029,NA,NA,NA
2021-05-25,30046,NA,NA,NA
2021-05-26,30063,NA,NA,NA
2021-05-27,30074,NA,NA,NA
2021-05-28,30083,NA,NA,NA
2021-05-29,30096,NA,NA,NA
2021-05-30,30105,NA,NA,NA
2021-05-31,30118,NA,NA,NA
2021-06-01,30124,NA,NA,NA
2021-06-02,30137,NA,NA,NA
2021-06-03,30141,NA,NA,NA
2021-06-04,30157,NA,NA,NA
2021-06-05,30173,NA,NA,NA
2021-06-06,30191,NA,NA,NA
2021-06-07,30205,NA,NA,NA
2021-06-08,30210,NA,NA,NA
2021-06-09,30225,NA,NA,NA
2021-06-10,30228,NA,NA,NA
2021-06-11,30234,NA,NA,NA
2021-06-12,30248,NA,NA,NA
2021-06-13,30262,NA,NA,NA
2021-06-14,30273,NA,NA,NA
2021-06-15,30286,NA,NA,NA
2021-06-16,30301,NA,NA,NA
2021-06-17,30309,NA,NA,NA
2021-06-18,30322,NA,NA,NA
2021-06-19,30331,NA,NA,NA
2021-06-20,30355,NA,NA,NA
2021-06-21,30366,NA,NA,NA
2021-06-22,30380,NA,NA,NA
2021-06-23,30404,NA,NA,NA
2021-06-24,30424,NA,NA,NA
2021-06-25,30457,NA,NA,NA
2021-06-26,30499,NA,NA,NA
2021-06-27,30528,NA,NA,NA
2021-06-28,30560,NA,NA,NA
2021-06-29,30602,NA,NA,NA
2021-06-30,30643,NA,NA,NA
2021-07-01,30684,NA,NA,NA
2021-07-02,30734,NA,NA,NA
2021-07-03,30753,NA,NA,NA
2021-07-04,30804,NA,NA,NA
2021-07-05,30831,NA,NA,NA
2021-07-06,30861,NA,NA,NA
2021-07-07,30903,NA,NA,NA
2021-07-08,30951,NA,NA,NA
2021-07-09,31015,NA,NA,NA
2021-07-10,31100,NA,NA,NA
2021-07-11,31221,NA,NA,NA
2021-07-12,31323,NA,NA,NA
2021-07-13,31429,NA,NA,NA
2021-07-14,31513,NA,NA,NA
2021-07-15,31626,NA,NA,NA
2021-07-16,31771,NA,NA,NA
2021-07-17,31899,NA,NA,NA
2021-07-18,32016,NA,NA,NA
2021-07-19,32120,NA,NA,NA
2021-07-20,32266,NA,NA,NA
2021-07-21,32426,NA,NA,NA
2021-07-22,32582,NA,NA,NA
2021-07-23,32753,NA,NA,NA
2021-07-24,32918,NA,NA,NA
2021-07-25,33082,NA,NA,NA
2021-07-26,33266,NA,NA,NA
2021-07-27,33473,NA,NA,NA
2021-07-28,33726,NA,NA,NA
2021-07-29,33909,NA,NA,NA
2021-07-30,34130,NA,NA,NA
2021-07-31,34383,NA,NA,NA
2021-08-01,34612,NA,NA,NA
2021-08-02,34836,NA,NA,NA
2021-08-03,35089,NA,NA,NA
2021-08-04,35391,NA,NA,NA
2021-08-05,35698,NA,NA,NA
2021-08-06,36051,NA,NA,NA
